Date,EUA,France electricity
10/01,63.61,70.364
10/02,62.6,71.333
10/03,62.76,71.657
10/04,62.05,72.303
10/05,62.05,72.303
10/06,62.05,72.303
10/07,61.76,72.505
10/08,60.29,71.374
10/09,62.01,71.98
10/10,65,73.111
10/11,64.62,75.17
10/12,64.62,75.17
10/13,64.62,75.17
10/14,65.97,76.667
10/15,65.09,75.495
10/16,63.03,73.434
10/17,62.98,73.313
10/18,62.28,71.535
10/19,62.28,71.535
10/20,62.28,72
10/21,61.76,71.697
10/22,62.25,73.071
10/23,64.89,73.96
10/24,66.63,75.212
10/25,66.97,75.495
10/26,66.97,75.495
10/27,66.97,75.495
