Date,Value
2024-10-01,63.61
2024-10-02,62.6
2024-10-03,62.76
2024-10-04,62.05
2024-10-05,62.05
2024-10-06,62.05
2024-10-07,61.76
2024-10-08,60.29
2024-10-09,62.01
2024-10-10,65
2024-10-11,64.62
2024-10-12,64.62
2024-10-13,64.62
2024-10-14,65.97
2024-10-15,65.09
2024-10-16,63.03
2024-10-17,62.98
2024-10-18,62.28
2024-10-19,62.28
2024-10-20,62.28
2024-10-21,61.76
2024-10-22,62.25
2024-10-23,64.89
2024-10-24,66.63
2024-10-25,66.97
2024-10-26,66.97
2024-10-27,66.97
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
