Date,France,EUA
10/01,128.79,81.45
10/02,125.48,80.7
10/03,121.26,79.8
10/04,122.76,81.82
10/05,121.26,80.86
10/06,122.16,80.62
10/07,122.16,80.62
10/08,122.16,80.62
10/09,129.25,81.63
10/10,135.48,84.74
10/11,135.43,83.78
10/12,142.36,85.45
10/13,147.03,85.66
10/14,140.55,85.66
10/15,140.55,85.66
10/16,140.55,83.41
10/17,139.35,82.65
10/18,142.06,81.79
10/19,141.76,82
10/20,142.36,81.67
10/21,141.46,81.67
10/22,141.46,81.67
10/23,141.46,80.3
10/24,137.24,80.66
10/25,134.52,79.93
10/26,132.11,79.58
10/27,131.11,79.36
10/28,131.96,79.36
10/29,131.96,79.36
10/30,131.96,78.78
10/31,124.56,79.41
11/01,122.16,78.66
11/02,122.61,79.06
11/03,122.92,77.2
11/04,122.92,77.2
11/05,122.92,77.2
11/06,119.3,75.88
11/07,118.54,75.36
11/08,117.19,75.4
11/09,121.86,77.3
11/10,119.15,78.5
11/11,119.15,78.5
11/12,119.15,78.5
11/13,120.35,77.04
11/14,121.11,78.57
11/15,121.86,79.8
11/16,118.54,77.2
11/17,117.03,76.23
11/18,117.03,76.23
11/19,117.03,76.23
11/20,117.87,76.66
11/21,116.28,75.21
11/22,114.76,75.1
11/23,117.45,76.57
11/24,117.55,76.46
11/25,117.55,76.46
11/26,117.55,76.46
11/27,112.85,73.07
11/28,109.35,72.5
11/29,105.35,70.78
